实例规格,vCPU,内存（GiB）,本地存储（GiB）,数据缓存盘（GiB）,网络带宽能力（出/入）（Gbit/s）,网络收发包能力（出/入）（万 PPS）*,多队列,FPGA,GPU
ecs.g5.large,2,4,无,,1,30,2,,
ecs.g5.xlarge,4,16,无,,1.5,50,2,,
ecs.g5.2xlarge,8,32,无,,2.5,80.0**,2,,
ecs.g5.4xlarge,16,48,无,,5,100.0**,4,,
ecs.g5.6xlarge,24,64,无,,7.5,150.0**,6,,
ecs.g5.8xlarge,32,128,无,,10,200.0**,8,,
ecs.g5.16xlarge,64,256,无,,20,400.0**,16,,
ecs.sn2ne.large,2,8,无,,1,30,2,,
ecs.sn2ne.xlarge,4,16,无,,1.5,50,2,,
ecs.sn2ne.2xlarge,8,32,无,,2,100.0**,4,,
ecs.sn2ne.4xlarge,16,64,无,,3,160.0**,4,,
ecs.sn2ne.8xlarge,32,128,无,,6,250.0**,8,,
ecs.sn2ne.14xlarge,56,224,无,,10,450.0**,16,,
ecs.sn2.medium,2,8,无,,0.5,10,1,,
ecs.sn2.large,4,16,无,,0.8,20,1,,
ecs.sn2.xlarge,8,32,无,,1.5,40,1,,
ecs.sn2.3xlarge,16,64,无,,3,50.0****,2,,
ecs.sn2.7xlarge,32,128,无,,6,80.0***,3,,
ecs.sn2.13xlarge,56,224,无,,10,120.0**,4,,
ecs.c5.large,2,4,无,,1,30,2,,
ecs.c5.xlarge,4,8,无,,1.5,50,2,,
ecs.c5.2xlarge,8,16,无,,2.5,80.0**,2,,
ecs.c5.4xlarge,16,32,无,,5,100.0**,4,,
ecs.c5.6xlarge,24,48,无,,7.5,150.0**,6,,
ecs.c5.8xlarge,32,64,无,,10,200.0**,8,,
ecs.c5.16xlarge,64,128,无,,20,400.0**,16,,
ecs.sn1ne.large,2,4,无,,1,30,2,,
ecs.sn1ne.xlarge,4,8,无,,1.5,50,2,,
ecs.sn1ne.2xlarge,8,16,无,,2,100.0**,4,,
ecs.sn1ne.4xlarge,16,32,无,,3,160.0**,4,,
ecs.sn1ne.8xlarge,32,64,无,,6,250.0**,8,,
ecs.sn1.medium,2,4,无,,0.5,10,1,,
ecs.sn1.large,4,8,无,,0.8,20,1,,
ecs.sn1.xlarge,8,16,无,,1.5,40,1,,
ecs.sn1.3xlarge,16,32,无,,3,50.0**,2,,
ecs.sn1.7xlarge,32,64,无,,6,80.0***,3,,
ecs.r5.large,2,16,无,,1,30,2,,
ecs.r5.xlarge,4,32,无,,1.5,50,2,,
ecs.r5.2xlarge,8,48,无,,2.5,80.0**,2,,
ecs.r5.4xlarge,16,64,无,,5,100.0**,4,,
ecs.r5.6xlarge,24,128,无,,7.5,150.0**,6,,
ecs.r5.8xlarge,32,256,无,,10,200.0**,8,,
ecs.r5.16xlarge,64,512,无,,20,400.0**,16,,
ecs.r5.22xlarge,88,704,无,,30,450.0**,22,,
ecs.se1ne.large,2,16,无,,1,30,2,,
ecs.se1ne.xlarge,4,32,无,,1.5,50,2,,
ecs.se1ne.2xlarge,8,64,无,,2,100.0**,4,,
ecs.se1ne.4xlarge,16,128,无,,3,160.0**,4,,
ecs.se1ne.8xlarge,32,256,无,,6,250.0**,8,,
ecs.se1ne.14xlarge,56,480,无,,10,450.0**,16,,
ecs.se1.large,2,16,无,,0.5,10,1,,
ecs.se1.xlarge,4,32,无,,0.8,20,1,,
ecs.se1.2xlarge,8,64,无,,1.5,40,1,,
ecs.se1.4xlarge,16,128,无,,3,50.0****,2,,
ecs.se1.8xlarge,32,256,无,,6,80.0***,3,,
ecs.se1.14xlarge,56,480,无,,10,120.0**,4,,
ecs.d1ne.2xlarge,8,32,4 * 5500,,6,100.0**,4,,
